Id,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,Utilities,HouseStyle,YearBuilt,BedroomAbvGr,KitchenAbvGr,SalePrice
681,RL,50,8012,Pave,NA,Reg,AllPub,1Story,1980,2,1,143000
682,RH,55,4500,Pave,Pave,IR2,AllPub,1.5Fin,1932,3,1,159434
683,RL,NA,2887,Pave,NA,Reg,AllPub,1Story,1996,2,1,173000
684,RL,90,11248,Pave,NA,IR1,AllPub,1Story,2002,3,1,285000
685,RL,58,16770,Pave,NA,IR2,AllPub,2Story,1998,4,1,221000
686,RL,NA,5062,Pave,NA,IR1,AllPub,2Story,1984,3,1,207500
687,FV,84,10207,Pave,NA,Reg,AllPub,2Story,2007,3,1,227875
688,FV,NA,5105,Pave,NA,IR2,AllPub,2Story,2004,2,1,148800
689,RL,60,8089,Pave,NA,Reg,AllPub,1Story,2007,2,1,392000
690,RL,61,7577,Pave,NA,IR1,AllPub,1Story,2005,2,1,194700
691,RM,NA,4426,Pave,NA,Reg,AllPub,1Story,2004,1,1,141000
692,RL,104,21535,Pave,NA,IR1,AllPub,2Story,1994,4,1,755000
693,RL,42,26178,Pave,NA,IR1,AllPub,2Story,1989,4,1,335000
694,RL,60,5400,Pave,NA,Reg,AllPub,1Story,1921,2,1,108480
695,RM,51,6120,Pave,NA,Reg,AllPub,1.5Fin,1936,3,1,141500
696,RL,54,13811,Pave,NA,IR1,AllPub,1Story,1987,2,1,176000
697,RM,50,6000,Pave,NA,Reg,AllPub,1Story,1921,2,1,89000
698,RL,57,6420,Pave,NA,IR1,AllPub,1Story,1952,2,1,123500
699,RL,65,8450,Pave,NA,Reg,AllPub,1Story,1965,3,1,138500
700,FV,59,4282,Pave,Pave,IR2,AllPub,1Story,2004,2,1,196000
701,RL,85,14331,Pave,NA,Reg,AllPub,1Story,2002,3,1,312500
702,RL,80,9600,Pave,NA,Reg,AllPub,1Story,1969,3,1,140000
703,RL,82,12438,Pave,NA,IR1,AllPub,2Story,2006,4,1,361919
704,RM,76,7630,Pave,NA,Reg,AllPub,2Story,1900,4,2,140000
705,RL,70,8400,Pave,NA,Reg,AllPub,1Story,2004,3,1,213000
706,RM,70,5600,Pave,NA,Reg,AllPub,2Story,1930,3,2,55000
707,RL,NA,115149,Pave,NA,IR2,AllPub,1Story,1971,2,1,302000
708,RL,48,6240,Pave,NA,Reg,AllPub,1Story,2006,2,1,254000
709,RL,65,9018,Pave,NA,IR1,AllPub,2Story,2007,3,1,179540
710,RL,NA,7162,Pave,NA,IR1,AllPub,1Story,1966,3,1,109900
711,RL,56,4130,Pave,NA,IR1,AllPub,1Story,1935,2,1,52000
712,C (all),66,8712,Pave,Pave,Reg,AllPub,1.5Fin,1900,2,1,102776
713,RL,40,4671,Pave,NA,IR1,AllPub,1Story,1988,2,1,189000
714,RL,60,9873,Pave,NA,Reg,AllPub,1Story,1970,3,1,129000
715,RL,NA,13517,Pave,NA,IR1,AllPub,2Story,1976,3,1,130500
716,RL,78,10140,Pave,NA,Reg,AllPub,1Story,1974,3,1,165000
717,RM,60,10800,Pave,Grvl,Reg,AllPub,2Story,1890,3,1,159500
718,RL,80,10000,Pave,NA,Reg,AllPub,1Story,1973,3,1,157000
719,RL,96,10542,Pave,NA,Reg,AllPub,2Story,1993,3,1,341000
720,RL,69,9920,Pave,NA,IR1,AllPub,1Story,1969,3,1,128500
721,RL,NA,6563,Pave,NA,IR1,AllPub,1Story,1985,2,1,275000
722,RM,NA,4426,Pave,NA,Reg,AllPub,1Story,2004,1,1,143000
723,RL,70,8120,Pave,NA,Reg,AllPub,1Story,1970,3,1,124500
724,RL,60,8172,Pave,NA,Reg,AllPub,1.5Fin,1954,4,1,135000
725,RL,86,13286,Pave,NA,IR1,AllPub,1Story,2007,3,1,320000
726,RL,60,6960,Pave,NA,Reg,AllPub,1Story,1970,3,1,120500
727,RL,NA,21695,Pave,NA,IR1,AllPub,1Story,1988,3,1,222000
728,RL,64,7314,Pave,NA,Reg,AllPub,1Story,2007,2,1,194500
729,RL,85,11475,Pave,NA,Reg,AllPub,1Story,1958,4,2,110000
730,RM,52,6240,Pave,Grvl,Reg,AllPub,1.5Fin,1925,2,1,103000
731,RL,39,5389,Pave,NA,IR1,AllPub,1Story,1995,2,1,236500
732,RL,73,9590,Pave,NA,IR1,AllPub,SLvl,2003,3,1,187500
733,RL,75,11404,Pave,NA,IR1,AllPub,2Story,1998,3,1,222500
734,RL,80,10000,Pave,NA,Reg,AllPub,1Story,1961,3,1,131400
735,RL,NA,8978,Pave,NA,IR1,AllPub,1Story,1968,3,1,108000
736,RM,60,10800,Pave,NA,Reg,AllPub,2.5Unf,1914,2,1,163000
737,RL,60,8544,Pave,NA,Reg,AllPub,1Story,1950,2,2,93500
738,RL,72,10463,Pave,NA,IR1,AllPub,2Story,2005,3,1,239900
739,RL,60,10800,Pave,NA,Reg,AllPub,1Story,1987,3,1,179000
740,RL,65,9313,Pave,NA,IR1,AllPub,2Story,2004,3,1,190000
741,RM,60,9600,Pave,Grvl,Reg,AllPub,2Story,1910,2,1,132000
742,RL,65,6768,Pave,NA,IR1,AllPub,1Story,1961,3,1,142000
743,RL,65,8450,Pave,NA,Reg,AllPub,1Story,2000,3,1,179000
744,RL,70,12886,Pave,NA,IR1,AllPub,SLvl,1963,3,1,175000
745,RL,41,5395,Pave,NA,IR1,AllPub,1Story,1993,2,1,180000
746,RL,NA,8963,Pave,NA,IR1,AllPub,2Story,1976,4,1,299800
747,RL,NA,8795,Pave,NA,IR1,AllPub,2Story,2000,4,1,236000
748,RM,65,11700,Pave,Pave,IR1,AllPub,2Story,1880,4,1,265979
749,RL,59,10593,Pave,NA,IR1,AllPub,1Story,1996,3,1,260400
750,RL,50,8405,Pave,NA,Reg,AllPub,1.5Fin,1945,4,1,98000
751,RM,55,8800,Pave,Grvl,Reg,AllPub,1.5Fin,1910,3,1,96500
752,RL,NA,7750,Pave,NA,Reg,AllPub,2Story,2003,3,1,162000
753,RL,79,9236,Pave,NA,IR1,AllPub,1Story,1997,3,1,217000
754,RL,80,10240,Pave,NA,Reg,AllPub,2Story,2005,3,1,275500
755,RL,61,7930,Pave,NA,Reg,AllPub,1Story,1969,3,1,156000
756,FV,34,3230,Pave,Pave,Reg,AllPub,2Story,1999,3,1,172500
757,RL,68,10769,Pave,NA,IR1,AllPub,2Story,2007,3,1,212000
758,RL,NA,11616,Pave,NA,IR1,AllPub,2Story,1978,3,1,158900
759,FV,24,2280,Pave,Pave,Reg,AllPub,2Story,1999,3,1,179400
760,RL,65,12257,Pave,NA,IR1,AllPub,2Story,1995,4,1,290000
761,RL,70,9100,Pave,NA,Reg,AllPub,1Story,1959,2,1,127500
762,RM,60,6911,Pave,NA,Reg,AllPub,1Story,1924,2,1,100000
763,FV,72,8640,Pave,NA,Reg,AllPub,2Story,2009,3,1,215200
764,RL,82,9430,Pave,NA,Reg,AllPub,2Story,1999,3,1,337000
765,RL,30,9549,Pave,NA,IR1,AllPub,1Story,1995,2,1,270000
766,RL,75,14587,Pave,NA,IR1,AllPub,1Story,2008,2,1,264132
767,RL,80,10421,Pave,NA,Reg,AllPub,2Story,1988,3,1,196500
768,RL,75,12508,Pave,NA,IR1,AllPub,1.5Fin,1940,4,1,160000
769,RL,70,9100,Pave,NA,Reg,AllPub,1Story,2004,3,1,216837
770,RL,47,53504,Pave,NA,IR2,AllPub,2Story,2003,4,1,538000
771,RL,NA,7252,Pave,NA,IR1,AllPub,SFoyer,1982,2,1,134900
772,RL,67,8877,Pave,NA,Reg,AllPub,1Story,1951,2,1,102000
773,RL,94,7819,Pave,NA,Reg,AllPub,SLvl,1976,3,1,107000
774,RL,70,10150,Pave,NA,Reg,AllPub,1Story,1958,2,1,114500
775,RL,110,14226,Pave,NA,Reg,AllPub,1Story,2006,3,1,395000
776,RM,32,4500,Pave,NA,Reg,AllPub,1Story,1998,2,1,162000
777,RL,86,11210,Pave,NA,IR1,AllPub,1Story,2005,3,1,221500
778,RL,100,13350,Pave,NA,IR1,AllPub,1Story,1974,3,1,142500
779,RH,60,8400,Pave,NA,Reg,AllPub,1Story,1977,4,2,144000
780,RL,78,10530,Pave,NA,Reg,AllPub,SFoyer,1977,2,1,135000
781,RL,63,7875,Pave,NA,Reg,AllPub,1Story,1995,3,1,176000
782,RL,65,7153,Pave,NA,Reg,AllPub,2Story,1992,3,1,175900
783,RL,67,16285,Pave,NA,IR2,AllPub,1Story,2001,3,1,187100
784,RL,NA,9101,Pave,NA,IR1,AllPub,SFoyer,1978,1,1,165500
785,RM,35,6300,Pave,Grvl,Reg,AllPub,2.5Unf,1914,3,1,128000
786,RL,NA,9790,Pave,NA,Reg,AllPub,1Story,1967,3,1,161500
787,RM,60,10800,Pave,NA,Reg,AllPub,1.5Fin,1915,4,1,139000
788,RL,76,10142,Pave,NA,IR1,AllPub,2Story,2004,4,1,233000
789,RM,50,6000,Pave,NA,Reg,AllPub,1Story,1954,2,1,107900
790,RL,NA,12205,Pave,NA,IR1,AllPub,2Story,1966,5,1,187500
791,RL,43,3182,Pave,NA,Reg,AllPub,1Story,2005,2,1,160200
792,RL,NA,11333,Pave,NA,IR1,AllPub,SLvl,1976,3,1,146800
793,RL,92,9920,Pave,NA,IR1,AllPub,2Story,1996,3,1,269790
794,RL,76,9158,Pave,NA,Reg,AllPub,1Story,2007,3,1,225000
795,RL,NA,10832,Pave,NA,IR1,AllPub,2Story,1994,3,1,194500
796,RL,70,8400,Pave,NA,Reg,AllPub,2Story,1980,3,1,171000
797,RL,71,8197,Pave,NA,Reg,AllPub,1Story,1977,3,1,143500
798,RL,57,7677,Pave,NA,Reg,AllPub,1Story,1953,2,1,110000
799,RL,104,13518,Pave,NA,Reg,AllPub,2Story,2008,4,1,485000
800,RL,60,7200,Pave,NA,Reg,AllPub,1.5Fin,1937,3,1,175000
801,RL,79,12798,Pave,NA,IR1,AllPub,2Story,1997,4,1,200000
802,RM,40,4800,Pave,NA,Reg,AllPub,1Story,1916,2,1,109900
803,RL,63,8199,Pave,NA,Reg,AllPub,2Story,2005,3,1,189000
804,RL,107,13891,Pave,NA,Reg,AllPub,2Story,2008,4,1,582933
805,RL,75,9000,Pave,NA,Reg,AllPub,1Story,1954,2,1,118000
806,RL,91,12274,Pave,NA,IR1,AllPub,1Story,2008,3,1,227680
807,RL,75,9750,Pave,NA,Reg,AllPub,SLvl,1967,3,1,135500
808,RL,144,21384,Pave,NA,Reg,AllPub,2Story,1923,3,1,223500
809,RL,85,13400,Pave,NA,Reg,AllPub,SLvl,1966,3,1,159950
810,RM,90,8100,Pave,NA,Reg,AllPub,2.5Unf,1898,2,3,106000
811,RL,78,10140,Pave,NA,Reg,AllPub,1Story,1974,3,1,181000
812,RM,NA,4438,Pave,NA,Reg,AllPub,1Story,2004,1,1,144500
813,C (all),66,8712,Grvl,NA,Reg,AllPub,1Story,1952,2,1,55993
814,RL,75,9750,Pave,NA,Reg,AllPub,1Story,1958,4,1,157900
815,RL,45,8248,Pave,Grvl,Reg,AllPub,1.5Fin,1918,3,1,116000
816,RL,48,12137,Pave,NA,IR2,AllPub,1Story,1998,3,1,224900
817,RL,NA,11425,Pave,NA,IR1,AllPub,1Story,1954,2,1,137000
818,RL,NA,13265,Pave,NA,IR1,AllPub,1Story,2002,3,1,271000
819,RL,80,8816,Pave,NA,Reg,AllPub,SLvl,1971,3,1,155000
820,RL,44,6371,Pave,NA,IR1,AllPub,1Story,2009,2,1,224000
821,RL,72,7226,Pave,NA,IR1,AllPub,2Story,2003,3,1,183000
822,RM,60,6000,Pave,Pave,Reg,AllPub,1Story,1953,2,1,93000
823,RL,NA,12394,Pave,NA,IR1,AllPub,2Story,2003,3,1,225000
824,RL,60,9900,Pave,NA,Reg,AllPub,1.5Fin,1940,3,1,139500
825,FV,81,11216,Pave,NA,Reg,AllPub,1Story,2006,3,1,232600
826,RL,114,14803,Pave,NA,Reg,AllPub,1Story,2007,2,1,385000
827,RM,50,6130,Pave,NA,Reg,AllPub,1.5Unf,1924,2,1,109500
828,RL,65,8529,Pave,NA,IR1,AllPub,1Story,2001,3,1,189000
829,RL,NA,28698,Pave,NA,IR2,AllPub,2Story,1967,3,1,185000
830,FV,24,2544,Pave,Pave,Reg,AllPub,2Story,2005,2,1,147400
831,RL,80,11900,Pave,NA,IR1,AllPub,1Story,1957,3,1,166000
832,FV,30,3180,Pave,Pave,Reg,AllPub,2Story,2005,2,1,151000
833,RL,44,9548,Pave,NA,IR1,AllPub,2Story,2003,3,1,237000
834,RL,100,10004,Pave,NA,Reg,AllPub,1Story,1964,3,1,167000
835,RL,75,7875,Pave,NA,Reg,AllPub,1Story,1961,3,1,139950
836,RL,60,9600,Pave,NA,Reg,AllPub,1Story,1950,2,1,128000
837,RM,90,8100,Pave,Pave,Reg,AllPub,1Story,1948,2,1,153500
838,RM,21,1680,Pave,NA,Reg,AllPub,2Story,1973,2,1,100000
839,RL,75,9525,Pave,NA,Reg,AllPub,1Story,1995,3,1,144000
840,RL,70,11767,Pave,NA,Reg,AllPub,1.5Fin,1946,3,1,130500
841,RH,NA,12155,Pave,NA,IR1,AllPub,2Story,1925,4,1,140000
842,RM,60,10440,Pave,Grvl,Reg,AllPub,2Story,1904,3,1,157500
843,RL,82,9020,Pave,NA,Reg,AllPub,SLvl,1966,3,1,174900
844,RL,80,8000,Pave,NA,Reg,AllPub,1Story,1961,6,2,141000
845,RM,100,12665,Pave,Grvl,IR1,AllPub,1.5Fin,1915,4,1,153900
846,RL,NA,16647,Pave,NA,IR1,AllPub,SFoyer,1975,3,1,171000
847,RL,75,9317,Pave,NA,Reg,AllPub,2Story,1993,3,1,213000
848,RL,36,15523,Pave,NA,IR1,AllPub,1Story,1972,3,1,133500
849,RL,75,45600,Pave,NA,IR2,AllPub,1.5Fin,1908,5,1,240000
850,RL,80,9600,Pave,NA,Reg,AllPub,SLvl,1976,3,1,187000
851,RM,36,4435,Pave,NA,Reg,AllPub,1Story,2003,1,1,131500
852,RL,NA,3196,Pave,NA,Reg,AllPub,1Story,2003,2,1,215000
853,RL,53,7128,Pave,NA,Reg,AllPub,2.5Unf,1941,4,1,164000
854,RL,NA,12095,Pave,NA,IR1,AllPub,SLvl,1964,3,1,158000
855,RL,102,17920,Pave,NA,Reg,AllPub,1Story,1955,3,1,170000
856,RL,NA,6897,Pave,NA,IR1,AllPub,1Story,1962,3,1,127000
857,RL,NA,10970,Pave,NA,IR1,AllPub,SLvl,1978,3,1,147000
858,RL,65,8125,Pave,NA,Reg,AllPub,2Story,1994,3,1,174000
859,RL,80,10400,Pave,NA,Reg,AllPub,1Story,1976,3,1,152000
860,RL,NA,11029,Pave,NA,IR1,AllPub,2Story,1968,4,1,250000
861,RL,55,7642,Pave,NA,Reg,AllPub,1.5Fin,1918,3,1,189950
862,RL,75,11625,Pave,NA,Reg,AllPub,1Story,1965,3,1,131500
863,RL,81,9672,Pave,NA,Reg,AllPub,1Story,1984,3,1,152000
864,RL,70,7931,Pave,NA,Reg,AllPub,1Story,1959,3,1,132500
865,FV,72,8640,Pave,NA,Reg,AllPub,1Story,2007,3,1,250580
866,RL,NA,8750,Pave,NA,IR1,AllPub,1Story,1970,3,1,148500
867,RL,67,10656,Pave,NA,IR1,AllPub,1Story,2006,3,1,248900
868,RL,85,6970,Pave,NA,Reg,AllPub,1Story,1961,3,1,129000
869,RL,NA,14762,Pave,NA,IR2,AllPub,2Story,1948,2,1,169000
870,RL,80,9938,Pave,NA,Reg,AllPub,2Story,1993,3,1,236000
871,RL,60,6600,Pave,NA,Reg,AllPub,1Story,1962,2,1,109500
872,RL,70,8750,Pave,NA,Reg,AllPub,2Story,1998,3,1,200500
873,RL,74,8892,Pave,NA,Reg,AllPub,1Story,1953,3,1,116000
874,RL,60,12144,Pave,NA,Reg,AllPub,1Story,1949,3,1,133000
875,RM,52,5720,Pave,NA,Reg,AllPub,1.5Fin,1941,3,1,66500
876,FV,75,9000,Pave,NA,Reg,AllPub,2Story,2007,4,1,303477
877,RL,94,25286,Pave,NA,Reg,AllPub,1Story,1963,3,1,132250
878,RL,74,8834,Pave,NA,Reg,AllPub,2Story,2004,4,1,350000
879,RL,88,11782,Pave,NA,IR1,AllPub,SFoyer,1961,3,1,148000
880,RL,NA,7000,Pave,NA,IR1,AllPub,1Story,1978,3,1,136500
881,RL,60,7024,Pave,NA,Reg,AllPub,1Story,2005,2,1,157000
882,RL,44,13758,Pave,NA,IR1,AllPub,1.5Fin,1990,3,1,187500
883,RL,NA,9636,Pave,NA,IR1,AllPub,2Story,1992,3,1,178000
884,RL,60,6204,Pave,NA,Reg,AllPub,2.5Fin,1912,5,1,118500
885,RL,65,7150,Pave,NA,Reg,AllPub,1Story,1967,3,1,100000
886,FV,50,5119,Pave,NA,IR1,AllPub,1Story,1999,2,1,328900
887,RL,70,8393,Pave,NA,Reg,AllPub,1Story,1959,4,2,145000
888,RL,59,16466,Pave,NA,IR1,AllPub,1.5Fin,1955,3,1,135500
889,RL,95,15865,Pave,NA,IR1,AllPub,1Story,1970,4,1,268000
890,RL,128,12160,Pave,NA,Reg,AllPub,1Story,1953,2,1,149500
891,RL,60,8064,Pave,NA,Reg,AllPub,1.5Fin,1949,3,1,122900
892,RL,70,11184,Pave,NA,Reg,AllPub,2Story,1978,3,1,172500
893,RL,70,8414,Pave,NA,Reg,AllPub,1Story,1963,3,1,154500
894,RL,NA,13284,Pave,NA,Reg,AllPub,1Story,1954,3,1,165000
895,RL,64,7018,Pave,NA,Reg,AllPub,1Story,1979,4,2,118858
896,RL,71,7056,Pave,NA,Reg,AllPub,2Story,1963,4,1,140000
897,RM,50,8765,Pave,Grvl,Reg,AllPub,1Story,1936,2,1,106500
898,RL,64,7018,Pave,NA,Reg,AllPub,2Story,1979,6,2,142953
899,RL,100,12919,Pave,NA,IR1,AllPub,1Story,2009,2,1,611657
900,RL,65,6993,Pave,NA,Reg,AllPub,1Story,1961,3,1,135000
901,RL,NA,7340,Pave,NA,IR1,AllPub,1Story,1971,2,1,110000
902,RL,64,8712,Pave,NA,IR1,AllPub,1Story,1957,2,1,153000
903,RL,63,7875,Pave,NA,Reg,AllPub,2Story,2003,3,1,180000
904,RL,50,14859,Pave,NA,IR1,AllPub,1Story,2006,3,1,240000
905,RL,NA,6173,Pave,NA,IR1,AllPub,1Story,1967,3,1,125500
906,RL,80,9920,Pave,NA,Reg,AllPub,1Story,1954,3,1,128000
907,RL,116,13501,Pave,NA,IR1,AllPub,1Story,2006,3,1,255000
908,RL,86,11500,Pave,NA,IR1,AllPub,1.5Fin,1936,3,1,250000
909,RL,NA,8885,Pave,NA,IR1,AllPub,1Story,1983,2,1,131000
910,RL,149,12589,Pave,NA,IR2,AllPub,2Story,2005,3,1,174000
911,RL,80,11600,Pave,NA,Reg,AllPub,2Story,1960,5,2,154300
912,RL,NA,9286,Pave,NA,IR1,AllPub,1Story,1977,3,1,143500
913,RM,51,6120,Pave,NA,Reg,AllPub,1Story,1925,3,1,88000
914,RH,82,6270,Pave,NA,Reg,AllPub,2Story,1949,4,2,145000
915,FV,30,3000,Pave,Pave,Reg,AllPub,2Story,2009,2,1,173733
916,RM,21,2001,Pave,NA,Reg,AllPub,2Story,1970,3,1,75000
917,C (all),50,9000,Pave,NA,Reg,AllPub,1Story,1949,1,1,35311
918,RL,NA,17140,Pave,NA,Reg,AllPub,1Story,1956,3,1,135000
919,RL,103,13125,Pave,NA,IR1,AllPub,2Story,1991,4,1,238000
920,RL,87,11029,Pave,NA,IR1,AllPub,1Story,1958,3,1,176500
921,RL,70,8462,Pave,NA,IR1,AllPub,2Story,1994,3,1,201000
922,RL,67,8777,Pave,NA,Reg,AllPub,1.5Fin,1900,4,2,145900
923,RL,65,10237,Pave,NA,Reg,AllPub,1Story,2005,3,1,169990
924,RL,50,8012,Pave,NA,Reg,AllPub,1Story,1993,2,1,193000
925,RL,79,10240,Pave,NA,Reg,AllPub,1Story,1980,3,1,207500
926,RL,NA,15611,Pave,NA,IR1,AllPub,1Story,1977,3,1,175000
927,RL,93,11999,Pave,NA,Reg,AllPub,2Story,2003,4,1,285000
928,RL,NA,9900,Pave,NA,Reg,AllPub,2Story,1968,4,1,176000
929,RL,NA,11838,Pave,NA,Reg,AllPub,1Story,2001,3,1,236500
930,RL,NA,13006,Pave,NA,IR1,AllPub,2Story,1997,4,1,222000
931,RL,73,8925,Pave,NA,IR1,AllPub,1Story,2007,3,1,201000
932,RL,70,9100,Pave,NA,Reg,AllPub,1Story,1965,2,1,117500
933,RL,84,11670,Pave,NA,IR1,AllPub,1Story,2006,3,1,320000
934,RL,63,8487,Pave,NA,Reg,AllPub,1Story,2004,3,1,190000
935,RL,313,27650,Pave,NA,IR2,AllPub,1Story,1960,4,1,242000
936,RL,52,5825,Pave,NA,IR1,AllPub,1Story,1926,1,1,79900
937,RL,67,10083,Pave,NA,Reg,AllPub,1Story,2003,2,1,184900
938,RL,75,9675,Pave,NA,Reg,AllPub,2Story,2005,3,1,253000
939,RL,73,8760,Pave,NA,Reg,AllPub,2Story,2006,3,1,239799
940,RL,NA,24090,Pave,NA,Reg,AllPub,2Story,1940,4,1,244400
941,RL,55,12640,Pave,NA,IR1,AllPub,1Story,1976,4,2,150900
942,RL,NA,8755,Pave,NA,IR1,AllPub,2Story,1999,3,1,214000
943,RL,42,7711,Pave,NA,IR1,AllPub,1Story,1977,4,2,150000
944,RL,100,25000,Pave,NA,Reg,AllPub,1Story,1967,4,2,143000
945,RL,NA,14375,Pave,NA,IR1,NoSeWa,SLvl,1958,3,1,137500
946,RM,98,8820,Pave,NA,Reg,AllPub,1.5Fin,1890,2,1,124900
947,RL,70,8163,Pave,NA,Reg,AllPub,SLvl,1959,3,1,143000
948,RL,85,14536,Pave,NA,Reg,AllPub,1Story,2002,3,1,270000
949,RL,65,14006,Pave,NA,IR1,AllPub,2Story,2002,3,1,192500
950,RL,78,9360,Pave,NA,Reg,AllPub,1Story,1972,3,1,197500
951,RL,60,7200,Pave,NA,Reg,AllPub,1Story,1950,3,1,129000
952,RH,60,7800,Pave,NA,Reg,AllPub,1Story,1965,3,1,119900
953,RL,60,7200,Pave,NA,Reg,AllPub,SFoyer,1972,2,1,133900
954,RL,NA,11075,Pave,NA,IR1,AllPub,2Story,1969,4,1,172000
955,RL,35,9400,Pave,NA,IR1,AllPub,SFoyer,1975,4,0,127500
956,RH,82,7136,Pave,NA,IR1,AllPub,2Story,1946,4,2,145000
957,RM,24,1300,Pave,NA,Reg,AllPub,2Story,1980,2,1,124000
958,RL,70,7420,Pave,NA,Reg,AllPub,1Story,1962,3,1,132000
959,RL,65,8450,Pave,NA,Reg,AllPub,1Story,2003,3,1,185000
960,FV,24,2572,Pave,NA,Reg,AllPub,2Story,1999,3,1,155000
961,RL,50,7207,Pave,NA,IR1,AllPub,1Story,1958,2,1,116500
962,RL,NA,12227,Pave,NA,IR1,AllPub,2Story,1977,4,1,272000
963,RL,24,2308,Pave,NA,Reg,AllPub,2Story,1976,3,1,155000
964,RL,122,11923,Pave,NA,IR1,AllPub,1Story,2007,2,1,239000
965,RL,80,11316,Pave,NA,Reg,AllPub,2Story,2002,4,1,214900
966,RL,65,10237,Pave,NA,Reg,AllPub,2Story,2005,3,1,178900
967,RL,130,9600,Pave,NA,IR1,AllPub,1.5Fin,1940,2,1,160000
968,RL,NA,7390,Pave,NA,IR1,AllPub,1Story,1955,3,1,135000
969,RM,50,5925,Pave,NA,Reg,AllPub,1.5Fin,1910,2,1,37900
970,RL,75,10382,Pave,NA,Reg,AllPub,SLvl,1958,2,1,140000
971,RL,60,10800,Pave,NA,Reg,AllPub,1.5Fin,1949,4,1,135000
972,RL,36,2268,Pave,NA,Reg,AllPub,2Story,2003,2,1,173000
973,RL,55,7892,Pave,NA,Reg,AllPub,1Story,1979,2,1,99500
974,FV,95,11639,Pave,NA,Reg,AllPub,1Story,2007,3,1,182000
975,RL,60,11414,Pave,NA,IR1,AllPub,2Story,1910,3,1,167500
976,FV,NA,2651,Pave,NA,Reg,AllPub,2Story,2000,3,1,165000
977,RL,51,5900,Pave,NA,IR1,AllPub,1Story,1923,2,1,85500
978,FV,35,4274,Pave,Pave,IR1,AllPub,1Story,2006,1,1,199900
979,RL,68,9450,Pave,NA,Reg,AllPub,1Story,1954,3,1,110000
980,RL,80,8816,Pave,NA,Reg,AllPub,1Story,1963,3,1,139000
981,RL,NA,12122,Pave,NA,IR1,AllPub,SFoyer,1961,3,1,178400
982,RL,98,12203,Pave,NA,IR1,AllPub,2Story,1998,4,1,336000
983,RL,43,3182,Pave,NA,Reg,AllPub,1Story,2007,2,1,159895
984,RL,NA,11250,Pave,NA,Reg,AllPub,2Story,2002,4,1,255900
985,RL,75,10125,Pave,NA,Reg,AllPub,1.5Fin,1977,4,2,126000
986,RL,68,10880,Pave,NA,Reg,AllPub,1Story,1950,3,1,125000
987,RM,59,5310,Pave,NA,Reg,AllPub,1.5Fin,1910,2,1,117000
988,RL,83,10159,Pave,NA,IR1,AllPub,1Story,2009,3,1,395192
989,RL,NA,12046,Pave,NA,IR1,AllPub,2Story,1976,4,1,195000
990,FV,65,8125,Pave,NA,Reg,AllPub,2Story,2006,3,1,197000
991,RL,82,9452,Pave,NA,Reg,AllPub,2Story,1997,3,1,348000
992,RM,121,17671,Pave,Grvl,Reg,AllPub,2Story,1882,4,1,168000
993,RL,80,9760,Pave,NA,Reg,AllPub,2Story,1964,3,1,187000
994,RL,68,8846,Pave,NA,Reg,AllPub,2Story,2005,3,1,173900
995,RL,96,12456,Pave,NA,Reg,AllPub,1Story,2006,3,1,337500
996,RL,51,4712,Pave,NA,IR1,AllPub,1.5Fin,1946,3,1,121600
997,RL,NA,10659,Pave,NA,IR1,AllPub,1Story,1961,3,1,136500
998,RL,NA,11717,Pave,NA,IR1,AllPub,1Story,1970,2,1,185000
999,RM,60,9786,Pave,NA,Reg,AllPub,1Story,1922,3,1,91000
1000,RL,64,6762,Pave,NA,Reg,AllPub,1Story,2006,2,1,206000
1001,RL,74,10206,Pave,NA,Reg,AllPub,1Story,1952,2,1,82000
1002,RL,60,5400,Pave,NA,Reg,AllPub,1Story,1920,2,1,86000
1003,RL,75,11957,Pave,NA,IR1,AllPub,1Story,2006,3,1,232000
1004,RL,NA,11500,Pave,NA,IR1,AllPub,1Story,1976,4,2,136905
1005,RL,43,3182,Pave,NA,Reg,AllPub,1Story,2005,1,1,181000
1006,RL,65,8385,Pave,NA,Reg,AllPub,SLvl,1977,3,1,149900
1007,RL,NA,12155,Pave,NA,IR3,AllPub,1Story,1970,3,1,163500
1008,RM,21,2217,Pave,NA,Reg,AllPub,2Story,1970,3,1,88000
1009,RL,43,12118,Pave,NA,IR1,AllPub,1Story,2004,3,1,240000
1010,RL,60,6000,Pave,NA,Reg,AllPub,1.5Fin,1926,4,1,102000
1011,RL,115,21286,Pave,NA,Reg,AllPub,1.5Fin,1948,4,1,135000
1012,RL,75,9825,Pave,NA,Reg,AllPub,1Story,1965,4,2,100000
1013,RL,55,10592,Pave,NA,Reg,AllPub,2Story,1923,3,1,165000
1014,RM,60,7200,Pave,NA,Reg,AllPub,1Story,1910,2,1,85000
1015,RL,60,11664,Pave,NA,Reg,AllPub,1Story,1948,2,1,119200
1016,RL,70,8400,Pave,NA,Reg,AllPub,2Story,2001,3,1,227000
1017,RL,73,11883,Pave,NA,Reg,AllPub,1Story,1996,3,1,203000
1018,RL,NA,5814,Pave,NA,IR1,AllPub,1Story,1984,1,1,187500
1019,RL,NA,10784,Pave,NA,IR1,AllPub,SLvl,1991,3,1,160000
1020,RL,43,3013,Pave,NA,Reg,AllPub,1Story,2005,2,1,213490
1021,RL,60,7024,Pave,NA,Reg,AllPub,1Story,2005,2,1,176000
